level,name,Total population,Population under age 18,Percent under age 18,Population ages 65+,Percent ages 65+,Male population,Percent male,Female population,Percent female,White population,Percent white,Black population,Percent black,Latino population,Percent Latino,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Households with 1+ vehicles,"Percent of households, 1+ vehicles",Adults ages 25+,Adults without high school diploma,"Percent of adults, no high school diploma",Adults with bachelor's or higher,"Percent of adults, bachelor's or higher",Median household income,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
7_town,Andover,3178,516,0.16,528,0.17,1508,0.47,1670,0.53,2865,0.9,106,0.03,61,0.02,146,0.05,198,0.06,1203,1039,0.86,311,0.26,1193,0.99,2330,79,0.03,901,0.39,99449,3178,80,0.03,375,0.12,516,0,0,106,0.21,528,0,0,26,0.05
7_town,Bolton,4902,911,0.19,995,0.2,2358,0.48,2544,0.52,4313,0.88,41,0.01,319,0.07,229,0.05,392,0.08,1835,1680,0.92,414,0.23,1731,0.94,3492,151,0.04,1562,0.45,112622,4886,225,0.05,458,0.09,895,17,0.02,25,0.03,995,69,0.07,132,0.13
7_town,Columbia,5402,810,0.15,1202,0.22,3187,0.59,2215,0.41,5030,0.93,3,0,240,0.04,129,0.02,110,0.02,2357,1976,0.84,434,0.19,2334,0.99,4227,503,0.12,1708,0.4,104911,5402,131,0.02,955,0.18,810,0,0,78,0.1,1202,50,0.04,345,0.29
7_town,Coventry,12434,2517,0.2,1992,0.16,6351,0.51,6083,0.49,11400,0.92,56,0,259,0.02,719,0.06,558,0.04,4756,4272,0.9,747,0.16,4688,0.99,8804,248,0.03,3861,0.44,93619,12416,632,0.05,1289,0.1,2500,201,0.08,406,0.16,1992,1,0,141,0.07
7_town,Ellington,16348,3559,0.22,2794,0.17,8183,0.5,8165,0.5,13636,0.83,401,0.02,926,0.06,1385,0.08,1212,0.07,6844,4555,0.67,1875,0.28,6694,0.98,11392,567,0.05,5234,0.46,89645,16202,681,0.04,1999,0.12,3413,138,0.04,266,0.08,2794,55,0.02,578,0.21
7_town,Hebron,9506,2028,0.21,1600,0.17,4889,0.51,4617,0.49,8799,0.93,5,0,426,0.04,276,0.03,373,0.04,3603,3300,0.92,890,0.25,3479,0.97,6752,186,0.03,3509,0.52,126045,9497,377,0.04,679,0.07,2022,97,0.05,151,0.07,1600,27,0.02,140,0.09
7_town,Mansfield,25682,2060,0.08,2334,0.09,12158,0.47,13524,0.53,20171,0.79,862,0.03,1328,0.05,3321,0.13,2984,0.12,5798,2954,0.51,2696,0.5,5230,0.9,7418,401,0.05,4208,0.57,50492,13279,3555,0.27,5616,0.42,1918,154,0.08,369,0.19,2240,195,0.09,554,0.25
7_town,Somers,10853,2153,0.2,2061,0.19,6106,0.56,4747,0.44,9000,0.83,591,0.05,774,0.07,488,0.04,394,0.04,3429,3016,0.88,830,0.25,3371,0.98,7886,807,0.1,3119,0.4,106305,9260,181,0.02,696,0.08,2145,32,0.01,156,0.07,1962,97,0.05,255,0.13
7_town,Stafford,11878,2353,0.2,2100,0.18,5684,0.48,6194,0.52,10880,0.92,23,0,520,0.04,455,0.04,257,0.02,4743,3597,0.76,1226,0.26,4523,0.95,8348,466,0.06,2128,0.25,82546,11618,577,0.05,1938,0.17,2244,107,0.05,513,0.23,1949,139,0.07,437,0.22
7_town,Tolland,14685,3083,0.21,2273,0.15,7211,0.49,7474,0.51,13200,0.9,116,0.01,517,0.04,852,0.06,925,0.06,5460,5062,0.93,941,0.18,5347,0.98,10371,179,0.02,5425,0.52,118367,14548,664,0.05,1485,0.1,3083,115,0.04,375,0.12,2148,68,0.03,162,0.08
